startphrase,ending0,ending1,ending2,ending3,label
The man plays continuously around on the drum set. He,continues to talk as he begins pressing the guitar.,continues playing the piano while the boy continues playing.,finishes playing the drum and pauses before the camera.,parts the flip and covers the equipment he made.,2
Another man on the field catches the ball. The man with the ball's team,swimming in him and cheers him on.,makes several pictures and throws a ball.,grabs a mallet and throws the ball.,is falling near the pool in attempt.,2
"Someone sits across from him, looking small and isolated. Someone",reaches out and takes someone's hand.,is soaked through very bare curtains.,puts his leg around someone's neck.,is quiet - eyed with woman.,0
"Someone sits across from him, looking small and isolated. Someone",is soaked through very bare curtains.,puts his leg around someone's neck.,"stands, ready to usher someone out.",is quiet - eyed with woman.,2
Someone's gaze is steady. His high white shirt collar and dark coat,are high and warm.,hangs on his wrists.,drops out of view.,is shaven and bald.,0
Someone's gaze is steady. His high white shirt collar and dark coat,hangs on his wrists.,is shaven and bald.,frame his stern features.,drops out of view.,2
We see a flash of an image of a standing man. We,see the hammer throw while the man jumps.,see a man walking up on the camel.,see two black guys playing in the papers.,see the man spin and throw the discus.,3
"After, the man that is in the harness grabs on to the shoulders of two men as they help him stand up on top of the bridge. Finally, the man does a free fall off of the bridge and a orange ball",comes out behind them.,falls to the floor.,is thrown to him.,falls across the ground.,2
He picks up the mail on the floor. He,"grab her by the hand, and startles someone.",leaves the loft with his mom to him.,moves away from the stained - glass window.,"falls to the ground, stomps on his hands.",2
We see men pulling and pushing a boat. We,see a person rescue a ship.,see a camera watching the stove.,see a skier in a crowded.,see people marching in a competition.,0
Someone starts hitting someone about the head with his open hands. Someone,lowers his smile triumphantly.,feels for his boots.,admires the feeding partner.,looks incredulously to himself.,3
"Someone leans into the bomb, her arms stretching toward the wire. The tip of her scissors",is set on someone's toes.,clamps down over her face.,stop a few inches away.,glows on someone's fbi eye.,2
He presents a framed arrest report. He,stares at the display.,starts to have soup.,holds it for money.,eyes the text image.,0
A video of water polo is shown in the gym. A few people watch and the ball,rolls around the island.,drops to the ground.,goes across the water.,are shown for sport.,2
A video of water polo is shown in the gym. A few people watch and the ball,rolls around the island.,drops to the ground.,goes back and forth.,are shown for sport.,2
