ending1,ending2,ending3,ending4,label
spins out of his grasp.,comes down on it.,flies from his grasp.,is hurled to the surface.,1
closes windows behind him.,rises 20 feet away.,looks up at him.,stops the little boy inside.,2
man demonstrates how to move.,goes down the slide.,throws a machine gun.,pass on a bridge.,0
poses watching the group.,is in the circle clapping.,dances in the sky.,plays music as people dance.,3
throws a machine gun.,runs into the camera.,pass on a bridge.,woman runs into the house.,1
is showing him the viewers.,tries to get between them.,is doing acrobatics tricks.,hits the man on the act.,1
is being styled by a soldier.,is wedged against the wall.,is turned upside down.,is drenched with sweat.,3
looks to the curtain.,grabs someone's gun.,runs to the road below.,takes his right leg.,0
fight over the puck.,hits the ball up and down.,run across the net.,give him high balls.,0
explodes in the sky.,starts running towards them.,slides down onto the slide.,walks down a lane.,1
gets off the chair.,beams and her eyes widen.,hands him a clipboard.,heads off into the night.,3
descends up to the car.,sleeps in his bed.,puts his arm around someone.,steals a gun from her bag.,2
walk to the trailer.,hold up clothes as they kiss.,lie asleep on the bed.,embrace their beaming guests.,3
walk to the trailer.,lie asleep on the bed.,hold up clothes as they kiss.,are dressed as people.,3
walks on an unpaved road.,follows the man with the bow.,cheers for the goalies.,breathe as he talks.,0
cheers for the goalies.,breathe as he talks.,follows the man with the bow.,begin to cheer performances.,3
shines through the water.,looms through the sky.,casts his hand down the sky.,roars across the bodies.,1
staggers from the darkness.,moves up from the visitor.,lies in her bra.,tosses her robe to her.,0
's on the phone.,stops at one of the steps.,manages to read but has gone.,uncurls a root for them.,0
averts her pensive gaze.,glances away in the mirror.,dances on the stage.,brushes away from him.,2
runs into the bathroom.,dries his face with a towel.,pushes his way in.,smiles and gives a thumbs up.,3
reacts his head glares.,opens the door to him.,strikes the golf ball.,touches his chest gently.,3
are seated on a field.,are skiing down the slope.,are in a lift.,are pouring out in a man.,1
brings a flute to her ear.,is cutting her hair.,is laying on a chair.,starts to shave her legs.,1
shoots him on the cheek.,rubs his smooth cheek.,spots a pillow behind them.,heads toward the back.,3
points from another window.,eyes him and smile slightly.,shuts his eyes and reloads.,watches with glistening eyes.,3
spread into a sleepy smile.,rest mere inches from him.,spread into a smile.,spread into a sob.,0
looks up into the sky.,strikes someone's face.,goes into the pantry.,offers him a bill.,0
stand in a doorway.,are standing at the entrance.,return from her bedroom.,are being led in traffic.,1
are high and warm.,hangs on his wrists.,drops out of view.,is shaven and bald.,0
hangs on his wrists.,is shaven and bald.,frame his stern features.,drops out of view.,2
holds up a wine bottle.,steps up behind her.,steps into an office.,grinds on a scooter.,1
leans elbows to his chair.,steps onto the bridge.,races to the crowd.,extracts his thoughtful gaze.,1
grabs someone's hand.,races to the crowd.,leans elbows to his chair.,extracts his thoughtful gaze.,0
saunters into the room.,walks next to him and smiles.,dabs her lip with her sleeve.,sits and talks to a man.,2
opens a door on top.,reigns in the ocean.,emerges in a roach dress.,drops onto a lower deck.,3
points at the tattoo.,is watching at the side.,is knitting under the bed.,sits on a couch.,1
is shaving her let.,is knitting under the bed.,sits on a couch.,points at the tattoo.,0
is washing the news hair.,tops the ice with chopsticks.,shaves her shoes off.,is holding a blue bucket.,3
looks up the porch.,reaches the end of his party.,picks up the receiver.,hands her father a radio.,3
approaches the pool table.,sprints after the bus.,sees him fall through.,sways around a closed vault.,1
nestling down his pale face.,tilted over his head.,tilted to shade his face.,putting out of his jacket.,2
lowered over his head.,nestling down his pale face.,tilted over his head.,putting out of his jacket.,0
grabs the ball in both hands.,beats the other two.,goes to briskly takes it off.,claps on the right.,1
addresses the arriving guard.,fetches liquid from it.,wears his suit.,gives someone one last look.,0
faces someone.,stares up at someone.,bounces up and down.,looks in the rearview mirror.,1
falls to his knees.,catches someone's gaze.,keeps his hands up.,watches from a high outcrop.,3
comes out behind them.,falls to the floor.,is thrown to him.,falls across the ground.,2
flutter as he beams.,walk away from the blaze.,lock an arm lapel.,knock down the glasses.,1
fall to th floor.,lands on the cement team.,knock its doors shut.,continue staring up.,0
stops in front of two cows.,races back inside the house.,walks out through the night.,circles around in the dark.,1
circles around in the dark.,walks out through the night.,continues through the house.,stops in front of two cows.,2
walk down a hallway.,walk down the stairs.,share a slack - jawed glance.,peer into the darkness.,3
gobbles it with ammunition.,pulls away with a smile.,lowers his eyes firmly.,leaves the car with his dogs.,1
is shoved into his mouth.,go up and he takes it.,falls to the floor.,rolls out the bat.,2
is set on someone's toes.,clamps down over her face.,stop a few inches away.,glows on someone's fbi eye.,2
reads spider powers diary.,squeezes her mouth shut.,hesitantly beats the sloop.,turns back with a warm smirk.,3
cubes to use water.,are fighting to eat it.,dogs in a tube.,then need water running.,1
stand behind it with mast.,emerge first from the cab.,swim away in unison.,stand with their heads hung.,1
turns to watch him play.,points the gun at someone.,sets down his wallet.,sits at her laptop.,2
stares at the display.,starts to have soup.,holds it for money.,eyes the text image.,0
rolls around the island.,drops to the ground.,goes across the water.,are shown for sport.,2
rolls around the island.,drops to the ground.,goes back and forth.,are shown for sport.,2
throw it in the back.,see something as he twirls.,finish playing the violin.,pokes holes on top.,2
take off the cloak.,see something as he twirls.,pokes holes on top.,are playing beach soccer.,0
poses at a mirror.,wears his white flaxen dress.,searches his own clothes.,finds someone playing piano.,0
finds someone playing piano.,wears his white flaxen dress.,searches his own clothes.,stands up from a chair.,3
has been quiet for a moment.,is actually coming down.,cuts off number 1.,is poured into her open palm.,0
ride a reproachful program.,walk over to the alcove.,stride through a cemetery.,peer through a desolate sky.,1
is turned from lights.,turns to the fire.,runs to the hole.,burns through the storm.,3
runs to the hole.,is turned from lights.,sits on he sawdust.,turns to the fire.,2
makes a highway call.,follows them into the salon.,comes up on the van.,opens the fridge and exits.,2
pulls up to a house.,makes a highway call.,opens the fridge and exits.,follows them into the salon.,0
looks oddly at someone.,watches someone walk away.,", with his hands.",starts to record them.,0
is put directly on the stove.,is poured across the ice.,is poured onto a plate.,is added to the mixture.,3
